,county,zipcode
1050,Lehigh-County,18059
1051,Lehigh-County,18062
1052,Lehigh-County,18066
1053,Lehigh-County,18068
1054,Lehigh-County,18069
1055,Lehigh-County,18078
1056,Lehigh-County,18079
1057,Lehigh-County,18080
1058,Lehigh-County,18087
1059,Lehigh-County,18092
1060,Lehigh-County,18101
1061,Lehigh-County,18102
1062,Lehigh-County,18103
1063,Lehigh-County,18104
1064,Lehigh-County,18105
1065,Lehigh-County,18106
1066,Lehigh-County,18109
1067,Lehigh-County,18195
1068,Lehigh-County,18951
1069,Lehigh-County,19529
1070,Lehigh-County,19530
1071,Lehigh-County,19539
1072,Bradford-County,16914
1073,Bradford-County,16925
1074,Bradford-County,16926
1075,Bradford-County,16936
1076,Bradford-County,16947
1077,Bradford-County,17724
1078,Bradford-County,18623
1079,Bradford-County,18810
1080,Bradford-County,18814
1081,Bradford-County,18817
1082,Bradford-County,18829
1083,Bradford-County,18830
1084,Bradford-County,18831
1085,Bradford-County,18832
1086,Bradford-County,18833
1087,Bradford-County,18837
1088,Bradford-County,18840
1089,Bradford-County,18845
1090,Bradford-County,18846
1091,Bradford-County,18848
1092,Bradford-County,18850
1093,Bradford-County,18851
1094,Bradford-County,18853
1095,Bradford-County,18854
1096,Northampton-County,18013
1097,Northampton-County,18014
1098,Northampton-County,18015
1099,Northampton-County,18017
1100,Northampton-County,18018
1101,Northampton-County,18020
1102,Northampton-County,18032
1103,Northampton-County,18035
1104,Northampton-County,18038
1105,Northampton-County,18040
1106,Northampton-County,18042
1107,Northampton-County,18045
1108,Northampton-County,18055
1109,Northampton-County,18063
1110,Northampton-County,18064
1111,Northampton-County,18067
1112,Northampton-County,18072
1113,Northampton-County,18077
1114,Northampton-County,18083
1115,Northampton-County,18085
1116,Northampton-County,18086
1117,Northampton-County,18088
1118,Northampton-County,18091
1119,Northampton-County,18109
1120,Northampton-County,18343
1121,Northampton-County,18351
