,County,School,% Advanced,% Proficient,% Basic,% Below Basic
552,LEBANON,ELCO INTERMEDIATE SCHOOL,24.6,33.29,24.48,17.66
553,ARMSTRONG,ELDERTON EL SCH,26.22,42.7,23.92,7.11
554,ALLEGHENY,ELIZABETH FORWARD MS,21.85,41.24,24.5,12.41
555,LANCASTER,ELIZABETH R MARTIN E,11.49,30.81,29.98,27.72
556,LANCASTER,ELIZABETHTOWN AREA M,21.86,33.85,26.68,17.6
557,SUSQUEHANNA,ELK LAKE EL SCH,21.93,39.47,21.65,16.9
558,SUSQUEHANNA,ELK LAKE JSHS,13.31,28.01,34.88,23.83
559,ERIE,ELK VALLEY EL SCH,34.48,38.99,20.55,5.97
560,PHILADELPHIA,ELKIN LEWIS SCH,2.63,15.28,24.8,57.29
561,MONTGOMERY,ELKINS PARK SCH,22.14,35.62,26.51,15.73
562,PHILADELPHIA,ELLWOOD SCH,2.88,15.71,36.55,44.87
563,LUZERNE,ELMER L MEYERS JSHS,4.64,17.95,33.92,43.49
564,CUMBERLAND,ELMWOOD ELEM SCHOOL,25.65,43.65,21.33,9.41
565,ALLEGHENY,ELROY AVENUE EL SCH,19.26,40.83,24.68,15.24
566,BUCKS,EMERSON EL SCH,13.79,39.08,31.39,15.69
567,ERIE,EMERSON-GRIDLEY EL SCH,1.51,21.81,34.83,41.91
568,BUTLER,EMILY BRITTAIN EL SCH,19.66,38.88,25.46,16.02
569,PHILADELPHIA,EMLEN ELEANOR COPE SCH,2.78,26.03,33.85,37.34
570,ALLEGHENY,ENVIRONMENTAL CS AT FRICK PARK,22.56,38.11,22.32,17.05
571,LANCASTER,EPHRATA MS,19.0,39.74,26.74,14.58
572,ERIE,ERIE RISE LEADERSHIP ACAD CS,0.0,5.56,26.82,67.61
573,LANCASTER,ESHLEMAN EL SCH,32.27,35.93,17.2,14.55
574,PHILADELPHIA,ESPERANZA CYBER CS,0.0,14.7,26.5,58.8
575,PHILADELPHIA,EUGENIO MARIA DE HOSTOS CS,14.18,34.22,30.76,20.79
576,BUTLER,EVANS CITY EL SCH,33.67,38.86,19.53,7.88
577,BUTLER,EVANS CITY MS,23.1,38.34,25.45,13.11
578,MONTGOMERY,EVANS ELEM SCHOOL,32.46,43.03,16.96,7.54
579,WYOMING,EVANSFALLS EL SCH,29.3,37.02,23.11,10.57
580,BEDFORD,EVERETT AREA EL SCH,16.14,37.83,27.62,18.39
581,BEDFORD,EVERETT AREA MS,10.04,30.8,35.15,24.01
582,MONROE,EVERGREEN COMMUNITY CS,5.44,41.34,29.36,23.94
